Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR2954266,2017-09-05 16:20:12,2015-11-23 16:28:04,89679180,17935836000,89679180,200,7442,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954266/SRR2954266.1,SRX1446806,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174582,SAMN04287684,simple,9606,Homo sapiens,GSM1949055,,,,,,,no,,,,,GEO,SRA313112,,public,2DD2057230A8DBC1B5239CD53FED54C9,3BCF1DF485778AA49167C0F764E73A17
SRR2954267,2017-09-05 16:20:12,2015-11-23 16:07:12,68149186,13629837200,68149186,200,6085,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954267/SRR2954267.1,SRX1446807,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174581,SAMN04287685,simple,9606,Homo sapiens,GSM1949056,,,,,,,no,,,,,GEO,SRA313112,,public,9C1FB284AC2530256003A4E6BA7C836F,376C834980A9309549C39459750A7E30
SRR2954268,2017-09-05 16:20:12,2015-11-23 15:51:54,48783857,9756771400,48783857,200,4060,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954268/SRR2954268.1,SRX1446808,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174580,SAMN04287686,simple,9606,Homo sapiens,GSM1949057,,,,,,,no,,,,,GEO,SRA313112,,public,1238372B94FCAF7A63B2B74666A4A659,6728301DF23901F4290181E62501C35C
SRR2954269,2017-09-05 16:20:12,2015-11-23 16:22:44,92701616,18540323200,92701616,200,7837,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954269/SRR2954269.1,SRX1446809,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174579,SAMN04287687,simple,9606,Homo sapiens,GSM1949058,,,,,,,no,,,,,GEO,SRA313112,,public,D12FF91E716F07BE3754AE2DB3D56307,6F0736C045DCA342AD5A88286F15AEDF
SRR2954270,2017-09-05 16:20:12,2015-11-23 15:55:33,40993286,8198657200,40993286,200,3422,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954270/SRR2954270.1,SRX1446810,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174578,SAMN04287688,simple,9606,Homo sapiens,GSM1949059,,,,,,,no,,,,,GEO,SRA313112,,public,E7FA18D93EF282EC91EAD8AE7141E65A,EE83B0CE8DF6AA39E79E26E3C7538E44
SRR2954271,2017-09-05 16:20:12,2015-11-23 16:14:09,54384376,10876875200,54384376,200,4490,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954271/SRR2954271.1,SRX1446811,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174577,SAMN04287689,simple,9606,Homo sapiens,GSM1949060,,,,,,,no,,,,,GEO,SRA313112,,public,F928AEF3AE192280CE7F213B2AB8BE98,B645BEABD3A39964B742B41E7C47152D
SRR2954272,2017-09-05 16:20:12,2015-11-23 15:48:57,38860270,7772054000,38860270,200,3250,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954272/SRR2954272.1,SRX1446812,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174576,SAMN04287690,simple,9606,Homo sapiens,GSM1949061,,,,,,,no,,,,,GEO,SRA313112,,public,CAD8B2801700AB3839083AA0B501F43B,FC0FF8997D5F0E74951DE3153F51200B
SRR2954273,2017-09-05 16:20:12,2015-11-23 16:17:34,77528151,15505630200,77528151,200,6026,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954273/SRR2954273.1,SRX1446813,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174575,SAMN04287691,simple,9606,Homo sapiens,GSM1949062,,,,,,,no,,,,,GEO,SRA313112,,public,C2102FFC1E4E6C95F7F390A1B5F8D1D2,0DECB302D16BDAFBF656673AFEC66F05
SRR2954274,2017-09-05 16:20:12,2015-11-23 16:28:14,72043648,14408729600,72043648,200,5659,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954274/SRR2954274.1,SRX1446814,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174574,SAMN04287692,simple,9606,Homo sapiens,GSM1949063,,,,,,,no,,,,,GEO,SRA313112,,public,2B3F66450C12E593DB2B419B34B1C108,24B8802E452145E6FF9572F1E8CA78F6
SRR2954275,2017-09-05 16:20:12,2015-11-23 15:47:33,86043405,17208681000,86043405,200,11631,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954275/SRR2954275.1,SRX1446815,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174573,SAMN04287693,simple,9606,Homo sapiens,GSM1949064,,,,,,,no,,,,,GEO,SRA313112,,public,6FE96C4B8B6FE07401BA6AA36AB5C6F3,887599030508F9A69FC84336FA08FC20
SRR2954276,2017-09-05 16:20:12,2015-11-23 15:53:22,73646505,14729301000,73646505,200,9960,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954276/SRR2954276.1,SRX1446816,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174572,SAMN04287694,simple,9606,Homo sapiens,GSM1949065,,,,,,,no,,,,,GEO,SRA313112,,public,FD387A1E8DD07304A3B0276489B2EE0C,8A902252F1A20DA499F76CD2D7A6A888
SRR2954277,2017-09-05 16:20:12,2015-11-23 17:56:30,35432150,7086430000,35432150,200,4800,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954277/SRR2954277.1,SRX1446817,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174571,SAMN04287695,simple,9606,Homo sapiens,GSM1949066,,,,,,,no,,,,,GEO,SRA313112,,public,E64CB324F72A37146181B06D348A8F33,DC036C0C4C11B51D0FA77387ADDA05EB
SRR2954278,2017-09-05 16:20:12,2015-11-23 16:59:38,110728605,22145721000,110728605,200,15030,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954278/SRR2954278.1,SRX1446818,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174570,SAMN04287696,simple,9606,Homo sapiens,GSM1949067,,,,,,,no,,,,,GEO,SRA313112,,public,DC43ABB73C0FAE741A20A50035C756FF,2E30E319910E2F82EB50DBE1CD4D56B3
SRR2954279,2017-09-05 16:20:12,2015-11-23 15:23:34,50252697,10050539400,50252697,200,6804,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954279/SRR2954279.1,SRX1446819,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174569,SAMN04287697,simple,9606,Homo sapiens,GSM1949068,,,,,,,no,,,,,GEO,SRA313112,,public,40B373C22AAEDF5682508C01B00AA2E7,608390CEC4FB7632276DB3CFCA651CEC
SRR2954280,2017-09-05 16:20:12,2015-11-23 15:44:58,79534946,15906989200,79534946,200,10776,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954280/SRR2954280.1,SRX1446820,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174568,SAMN04287698,simple,9606,Homo sapiens,GSM1949069,,,,,,,no,,,,,GEO,SRA313112,,public,C3696D457D6D942E8F92AA6449DB1CF5,625E162EAE7124460F90A52EDD0026A4
SRR2954281,2017-09-05 16:20:12,2015-11-23 15:46:19,80092518,16018503600,80092518,200,10832,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954281/SRR2954281.1,SRX1446821,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174567,SAMN04287699,simple,9606,Homo sapiens,GSM1949070,,,,,,,no,,,,,GEO,SRA313112,,public,AD802B927C916035211B6B4FC64708F4,25F19B4D1621B5F0E1937D604F9F8039
SRR2954282,2017-09-05 16:20:12,2015-11-23 15:37:58,56565104,11313020800,56565104,200,7642,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954282/SRR2954282.1,SRX1446822,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174566,SAMN04287700,simple,9606,Homo sapiens,GSM1949071,,,,,,,no,,,,,GEO,SRA313112,,public,D2A2526D6473944FADE50541CFE6BC64,D3E800E861EAD651441F694010CB2F26
SRR2954283,2017-09-05 16:20:12,2015-11-23 18:25:28,52261222,10452244400,52261222,200,7070,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954283/SRR2954283.1,SRX1446823,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174565,SAMN04287701,simple,9606,Homo sapiens,GSM1949072,,,,,,,no,,,,,GEO,SRA313112,,public,51A4E3D1240D5A8367386781C865BD55,8FA8FE8EDAA324AF086E54891399C23F
SRR2954284,2017-09-05 16:20:12,2015-11-23 16:00:57,97070623,19414124600,97070623,200,13124,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954284/SRR2954284.1,SRX1446824,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174564,SAMN04287702,simple,9606,Homo sapiens,GSM1949073,,,,,,,no,,,,,GEO,SRA313112,,public,E19821769AC7312069FC4E709D4006CC,ED75FD0E3233620A35236E253DFA02FA
SRR2954285,2017-09-05 16:20:12,2015-11-23 15:36:14,63582918,12716583600,63582918,200,8111,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954285/SRR2954285.1,SRX1446825,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174563,SAMN04287703,simple,9606,Homo sapiens,GSM1949074,,,,,,,no,,,,,GEO,SRA313112,,public,23AF054CBC3CC37EFAC84093ADE74D26,73F206CC8F51F6C6C797386E3C6B5A3E
SRR2954286,2017-09-05 16:20:12,2015-11-23 15:43:49,70041408,14008281600,70041408,200,8958,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954286/SRR2954286.1,SRX1446826,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174562,SAMN04287704,simple,9606,Homo sapiens,GSM1949075,,,,,,,no,,,,,GEO,SRA313112,,public,28E5AD63EEC5F924ECEFFCA2A21D5408,8CA6616EE3508B37D05D6045749F4AE6
SRR2954287,2017-09-05 16:20:12,2015-11-23 15:46:28,67531239,13506247800,67531239,200,8636,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954287/SRR2954287.1,SRX1446827,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174561,SAMN04287705,simple,9606,Homo sapiens,GSM1949076,,,,,,,no,,,,,GEO,SRA313112,,public,B8807B8F7959C52BBC9F42E4FA7C6ED6,355BBE8F466DA8E1B8794B3D33F8170E
SRR2954288,2017-09-05 16:20:12,2015-11-23 17:58:21,58822016,11764403200,58822016,200,7518,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954288/SRR2954288.1,SRX1446828,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174560,SAMN04287706,simple,9606,Homo sapiens,GSM1949077,,,,,,,no,,,,,GEO,SRA313112,,public,623FD3F5BE4C04C024D1B5441FB1C024,C750F1AC1B9A3A7FA4468D9A7ADC6624
SRR2954289,2017-09-05 16:20:12,2015-11-23 15:51:33,61169522,12233904400,61169522,200,7788,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954289/SRR2954289.1,SRX1446829,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174559,SAMN04287707,simple,9606,Homo sapiens,GSM1949078,,,,,,,no,,,,,GEO,SRA313112,,public,76B6FFF550EAC0295024A1FE974A0449,84F9D8FBA7454FB2322BFF5BA10F34F3
SRR2954290,2017-09-05 16:20:12,2015-11-23 15:49:33,76551716,15310343200,76551716,200,9779,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954290/SRR2954290.1,SRX1446830,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174558,SAMN04287708,simple,9606,Homo sapiens,GSM1949079,,,,,,,no,,,,,GEO,SRA313112,,public,777627793BF190A8BB8E869267956B21,4DEA5185AECB0233AA6D3CA1774B5436
SRR2954291,2017-09-05 16:20:13,2015-11-23 15:40:49,58807824,11761564800,58807824,200,7519,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954291/SRR2954291.1,SRX1446831,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174557,SAMN04287709,simple,9606,Homo sapiens,GSM1949080,,,,,,,no,,,,,GEO,SRA313112,,public,5C44444CC5E3C66EFB005039D5169155,00A6A22FB2191183718BE480FA8BC91E
SRR2954292,2017-09-05 16:20:13,2015-11-23 15:55:44,68961779,13792355800,68961779,200,8789,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954292/SRR2954292.1,SRX1446832,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174556,SAMN04287710,simple,9606,Homo sapiens,GSM1949081,,,,,,,no,,,,,GEO,SRA313112,,public,461525570A39CBEE6C5AECE5378CBB7E,23F11345D93D0DCB510849BB9ACF6BCF
SRR2954293,2017-09-05 16:20:13,2015-11-23 15:43:13,55995986,11199197200,55995986,200,7173,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954293/SRR2954293.1,SRX1446833,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174555,SAMN04287711,simple,9606,Homo sapiens,GSM1949082,,,,,,,no,,,,,GEO,SRA313112,,public,5B35D15A69A3010634EF2387FAA3745E,8E712CB47FFBA8468BBFF5E892A71F73
SRR2954294,2017-09-05 16:20:13,2015-11-23 15:53:32,71600863,14320172600,71600863,200,9149,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2954294/SRR2954294.1,SRX1446834,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS1174554,SAMN04287712,simple,9606,Homo sapiens,GSM1949083,,,,,,,no,,,,,GEO,SRA313112,,public,F79983850FA7982AD6414984B4559688,93B36BDAB011B8C0A43E374E846F866B
SRR6014240,2019-05-30 00:24:41,2017-09-07 13:40:09,50233223,10046644600,50233223,200,4244,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6014240/SRR6014240.1,SRX3167237,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS2497399,SAMN07614911,simple,9606,Homo sapiens,GSM2775088,,,,,,,no,,,,,GEO,SRA313112,,public,820B63AAAFB60B350C5D80BCC7B38E52,1752821338211C1828E27B5600041CC5
SRR6014241,2019-05-30 00:24:41,2017-09-07 13:51:27,48837104,9767420800,48837104,200,4142,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6014241/SRR6014241.1,SRX3167238,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS2497400,SAMN07614910,simple,9606,Homo sapiens,GSM2775089,,,,,,,no,,,,,GEO,SRA313112,,public,7D134A5DC64642D96CD68B3F9E311E15,EFAB1AE02E2AE3084864BEDED1BE7546
SRR6014242,2019-05-30 00:24:41,2017-09-07 13:44:40,49539092,9907818400,49539092,200,4197,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6014242/SRR6014242.1,SRX3167239,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS2497401,SAMN07614909,simple,9606,Homo sapiens,GSM2775090,,,,,,,no,,,,,GEO,SRA313112,,public,7DB79479736FA7BCFC4DEE4D7CD79CB8,497B1CB133603EE141175C494467C5B7
SRR6019852,2019-05-30 00:24:41,2017-09-08 11:08:33,12691506,2538301200,12691506,200,1105,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6019852/SRR6019852.1,SRX3171005,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS2500966,SAMN07622511,simple,9606,Homo sapiens,GSM2776897,,,,,,,no,,,,,GEO,SRA313112,,public,0D8079D6BDFD0F050C7488DDB67E76A8,01592F72427297E515D71D81248B574B
SRR6019853,2019-05-30 00:24:41,2017-09-08 11:11:16,12428920,2485784000,12428920,200,1089,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-11/SRR6019853/SRR6019853.1,SRX3171005,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066571,PRJNA303170,2,303170,SRS2500966,SAMN07622511,simple,9606,Homo sapiens,GSM2776897,,,,,,,no,,,,,GEO,SRA313112,,public,6B67DA45BDBB6F43541E4E91F0626DE4,B68599088B0684D29E7F221A07496ABB
